CustomerID,TotalMRR,CustomerValueSegment
C1049,4676.88,"High Value"
C1194,3957.3599999999997,"High Value"
C1395,3177.88,"High Value"
C1103,3057.96,"High Value"
C1144,2698.2,"High Value"
C1242,2648.88,"High Value"
C1034,2578.28,"High Value"
C1045,2578.28,"High Value"
C1113,2578.28,"High Value"
C1195,2578.28,"High Value"
C1290,2578.28,"High Value"
C1352,2578.28,"High Value"
C1076,2542.6400000000003,"High Value"
C1412,2534.8,"High Value"
C1030,2458.36,"High Value"
C1308,2458.36,"High Value"
C1324,2458.36,"High Value"
C1349,2458.36,"High Value"
C1166,2338.44,"High Value"
C1204,2338.44,"High Value"
C1263,2338.44,"High Value"
C1325,2338.44,"High Value"
C1102,2218.52,"High Value"
C1156,2218.52,"High Value"
C1198,2218.52,"High Value"
C1272,2218.52,"High Value"
C1341,2218.52,"High Value"
C1381,2218.52,"High Value"
C1385,2218.52,"High Value"
C1009,2098.6,"High Value"
C1018,2098.6,"High Value"
C1046,2098.6,"High Value"
C1100,2098.6,"High Value"
C1155,2098.6,"High Value"
C1162,2098.6,"High Value"
C1241,2098.6,"High Value"
C1252,2098.6,"High Value"
C1267,2098.6,"High Value"
C1281,2098.6,"High Value"
C1327,2098.6,"High Value"
C1345,2098.6,"High Value"
C1369,2098.6,"High Value"
C1384,2098.6,"High Value"
C1012,1978.68,"Medium Value"
C1035,1978.68,"Medium Value"
C1037,1978.68,"Medium Value"
C1149,1978.68,"Medium Value"
C1182,1978.68,"Medium Value"
C1250,1978.68,"Medium Value"
C1256,1978.68,"Medium Value"
C1261,1978.68,"Medium Value"
C1282,1978.68,"Medium Value"
C1284,1978.68,"Medium Value"
C1313,1978.68,"Medium Value"
C1334,1978.68,"Medium Value"
C1350,1978.68,"Medium Value"
C1364,1978.68,"Medium Value"
C1013,1931.28,"Medium Value"
C1094,1858.76,"Medium Value"
C1121,1858.76,"Medium Value"
C1201,1858.76,"Medium Value"
C1217,1858.76,"Medium Value"
C1257,1858.76,"Medium Value"
C1050,1825.3600000000001,"Medium Value"
C1239,1738.84,"Medium Value"
C1006,1618.92,"Medium Value"
C1288,1618.92,"Medium Value"
C1380,1618.92,"Medium Value"
C1275,1499,"Medium Value"
C1202,1112.88,"Medium Value"
C1230,1009.04,"Medium Value"
C1016,978.04,"Low Value"
C1397,938.12,"Low Value"
C1065,898.2,"Low Value"
C1224,898.2,"Low Value"
C1129,858.28,"Low Value"
C1203,858.28,"Low Value"
C1008,818.36,"Low Value"
C1054,818.36,"Low Value"
C1086,818.36,"Low Value"
C1098,818.36,"Low Value"
C1172,818.36,"Low Value"
C1184,818.36,"Low Value"
C1222,818.36,"Low Value"
C1251,818.36,"Low Value"
C1260,818.36,"Low Value"
C1273,818.36,"Low Value"
C1023,778.44,"Low Value"
C1027,778.44,"Low Value"
C1079,778.44,"Low Value"
C1148,778.44,"Low Value"
C1151,778.44,"Low Value"
C1188,778.44,"Low Value"
C1205,778.44,"Low Value"
C1259,778.44,"Low Value"
C1285,778.44,"Low Value"
C1302,778.44,"Low Value"
C1310,778.44,"Low Value"
C1335,778.44,"Low Value"
C1365,778.44,"Low Value"
C1374,778.44,"Low Value"
C1404,778.44,"Low Value"
C1415,778.44,"Low Value"
C1132,775.04,"Low Value"
C1075,738.52,"Low Value"
C1117,738.52,"Low Value"
C1186,738.52,"Low Value"
C1206,738.52,"Low Value"
C1232,738.52,"Low Value"
C1247,738.52,"Low Value"
C1248,738.52,"Low Value"
C1389,738.52,"Low Value"
C1407,738.52,"Low Value"
C1154,723.3599999999999,"Low Value"
C1026,698.6,"Low Value"
C1029,698.6,"Low Value"
C1043,698.6,"Low Value"
C1105,698.6,"Low Value"
C1227,698.6,"Low Value"
C1249,698.6,"Low Value"
C1264,698.6,"Low Value"
C1297,698.6,"Low Value"
C1355,698.6,"Low Value"
C1377,698.6,"Low Value"
C1007,658.68,"Low Value"
C1048,658.68,"Low Value"
C1056,658.68,"Low Value"
C1059,658.68,"Low Value"
C1093,658.68,"Low Value"
C1111,658.68,"Low Value"
C1169,658.68,"Low Value"
C1209,658.68,"Low Value"
C1220,658.68,"Low Value"
C1258,658.68,"Low Value"
C1296,658.68,"Low Value"
C1336,658.68,"Low Value"
