CustomerID,TotalLogins,TotalAPICalls,TotalMRR
C1194,105,7975,3957.3599999999997
C1103,205,19629,3057.96
C1144,216,22209,2698.2
C1195,224,20385,2578.28
C1290,429,19734,2578.28
C1030,396,16297,2458.36
C1324,464,27156,2458.36
C1204,333,23455,2338.44
C1102,329,27520,2218.52
C1198,377,28182,2218.52
C1341,343,22093,2218.52
C1381,122,19174,2218.52
C1009,220,10535,2098.6
C1241,201,19031,2098.6
C1252,125,11778,2098.6
C1327,281,35133,2098.6
C1345,260,7106,2098.6
C1035,171,28076,1978.68
C1250,149,15122,1978.68
C1256,102,12317,1978.68
C1313,315,17519,1978.68
C1350,340,13178,1978.68
C1364,159,8615,1978.68
C1094,377,34990,1858.76
C1121,361,16589,1858.76
C1217,159,10986,1858.76
C1050,101,7638,1825.3600000000001
C1275,139,11043,1499
C1008,155,23906,818.36
C1184,192,21884,818.36
C1251,173,21096,818.36
C1260,191,27285,818.36
C1273,175,33715,818.36
C1151,132,10874,778.44
C1188,389,35150,778.44
C1335,371,32222,778.44
C1365,141,9231,778.44
C1374,182,16074,778.44
C1186,104,22089,738.52
C1206,349,30924,738.52
C1248,118,4751,738.52
C1389,137,14494,738.52
C1043,173,13399,698.6
C1105,218,40850,698.6
C1249,287,28405,698.6
C1264,120,5937,698.6
C1297,249,21600,698.6
C1007,117,25511,658.68
C1059,113,4999,658.68
C1093,263,32589,658.68
C1220,261,32557,658.68
C1296,270,35849,658.68
C1336,135,24018,658.68
C1370,117,20215,658.68
C1416,410,34294,658.68
C1005,133,13232,618.76
C1085,109,5745,618.76
C1246,212,14175,618.76
C1187,209,18117,578.84
C1212,185,21498,538.92
C1131,129,23099,525.36
C1041,111,17426,437.8
C1237,147,4833,358.2
C1033,146,18744,342.28
C1137,110,8261,342.28
C1262,145,6602,342.28
C1266,315,20437,342.28
C1328,115,6444,342.28
C1338,324,25562,342.28
C1019,149,8711,326.36
C1067,139,23539,326.36
C1142,270,27711,326.36
C1178,360,24438,326.36
C1286,108,15708,326.36
C1320,108,8942,326.36
C1061,266,16514,310.44
C1096,151,14710,310.44
C1207,373,29308,310.44
C1254,164,25481,310.44
C1314,328,27367,310.44
C1331,162,11401,310.44
C1376,390,18075,310.44
C1387,198,8754,310.44
C1388,205,19246,310.44
C1028,206,14811,294.52
C1101,166,20407,294.52
C1146,132,24680,294.52
C1171,270,20380,294.52
C1270,114,7061,294.52
C1322,187,14926,294.52
C1372,135,10411,294.52
C1001,148,10276,278.6
C1003,187,19771,278.6
C1072,368,45924,278.6
C1127,173,17903,278.6
C1141,136,28450,278.6
C1280,160,11578,278.6
C1300,380,34583,278.6
C1307,318,23183,278.6
C1333,156,10453,278.6
C1339,199,39221,278.6
C1366,107,7097,278.6
C1393,335,12121,278.6
C1394,269,21963,278.6
C1420,120,24182,278.6
C1109,397,22170,262.68
C1147,173,13087,262.68
C1292,148,7588,262.68
C1344,327,19815,262.68
C1357,233,27064,262.68
C1371,213,11450,262.68
C1002,217,15512,246.76
C1135,159,18102,246.76
C1226,159,31828,246.76
C1231,200,10884,246.76
C1413,113,20979,246.76
C1219,147,24237,160.72
C1225,171,23197,129.36
C1354,378,28945,99.96
C1126,198,18920,96.04
C1123,103,8648,92.12
C1125,171,12809,88.2
C1128,325,29390,88.2
C1238,138,15363,88.2
C1340,167,12606,88.2
C1073,150,29996,84.28
C1158,201,21070,84.28
C1283,109,33201,84.28
C1036,168,31827,80.36
C1047,140,7995,80.36
C1060,385,31791,80.36
C1069,262,17132,80.36
C1130,181,18465,80.36
C1164,255,27508,80.36
C1221,108,15668,80.36
C1268,248,15619,80.36
C1309,183,29738,80.36
C1021,264,22493,76.44
C1057,260,14388,76.44
C1326,375,28413,76.44
C1342,133,30750,76.44
C1095,170,25465,72.52
C1112,197,12639,72.52
C1119,143,31571,72.52
C1165,153,13464,72.52
C1177,245,17908,72.52
C1303,114,25160,72.52
C1347,260,19501,72.52
C1386,383,37376,72.52
C1055,134,20493,68.6
C1108,319,14818,68.6
C1139,211,33461,68.6
C1145,313,23925,68.6
C1180,142,8996,68.6
C1191,246,13042,68.6
C1234,437,31970,68.6
C1323,119,25779,68.6
C1408,115,18026,68.6
C1107,131,9557,64.68
C1243,247,5532,64.68
C1318,130,15540,64.68
C1358,179,15750,64.68
C1362,272,26479,64.68
C1392,390,20619,64.68
C1042,311,33162,60.76
C1373,259,17279,60.76
C1379,153,17385,60.76
C1134,453,31979,56.84
C1168,318,12269,56.84
C1175,103,22317,56.84
