CustomerID,TotalMRR,TotalSeats
C1049,4676.88,16
C1194,3957.3599999999997,10
C1395,3177.88,15
C1103,3057.96,14
C1144,2698.2,11
C1242,2648.88,16
C1034,2578.28,10
C1045,2578.28,10
C1113,2578.28,10
C1195,2578.28,10
C1290,2578.28,10
C1352,2578.28,10
C1076,2542.6400000000003,19
C1412,2534.8,17
C1030,2458.36,9
C1308,2458.36,9
C1324,2458.36,9
C1349,2458.36,9
C1166,2338.44,8
C1204,2338.44,8
C1263,2338.44,8
C1325,2338.44,8
C1102,2218.52,7
C1156,2218.52,7
C1198,2218.52,7
C1272,2218.52,7
C1341,2218.52,7
C1381,2218.52,7
C1385,2218.52,7
C1009,2098.6,6
C1018,2098.6,6
C1046,2098.6,3
C1100,2098.6,6
C1155,2098.6,6
C1162,2098.6,6
C1241,2098.6,6
C1252,2098.6,6
C1267,2098.6,6
C1281,2098.6,6
C1327,2098.6,6
C1345,2098.6,5
C1369,2098.6,6
C1384,2098.6,6
C1012,1978.68,5
C1035,1978.68,5
C1037,1978.68,5
C1149,1978.68,5
C1182,1978.68,5
C1250,1978.68,5
C1256,1978.68,5
C1261,1978.68,5
C1282,1978.68,5
C1284,1978.68,5
C1313,1978.68,5
C1334,1978.68,5
C1350,1978.68,5
C1364,1978.68,5
C1013,1931.28,11
C1094,1858.76,4
C1121,1858.76,4
C1201,1858.76,4
C1217,1858.76,4
C1257,1858.76,4
C1050,1825.3600000000001,10
C1239,1738.84,3
C1006,1618.92,2
C1288,1618.92,2
C1380,1618.92,2
C1275,1499,1
C1202,1112.88,16
C1230,1009.04,14
C1016,978.04,13
C1397,938.12,12
C1065,898.2,11
C1224,898.2,11
C1129,858.28,10
C1203,858.28,10
C1008,818.36,9
C1054,818.36,9
C1086,818.36,9
C1098,818.36,9
C1172,818.36,9
C1184,818.36,9
C1222,818.36,9
C1251,818.36,9
C1260,818.36,6.5
C1273,818.36,9
C1023,778.44,8
C1027,778.44,8
C1079,778.44,8
C1148,778.44,8
C1151,778.44,8
C1188,778.44,8
C1205,778.44,8
C1259,778.44,8
C1285,778.44,8
C1302,778.44,8
C1310,778.44,8
C1335,778.44,8
C1365,778.44,8
