CustomerID,CompanyName,Industry,MRR,Seats,Status
C1395,"Deepak Patel Labs",Education,3177.88,15,Active
C1103,"Pooja Menon Group",Retail,3057.96,14,Active
C1144,"Aditya Sharma Technologies",Media,2698.2,11,Active
C1034,"Sneha Rao Industries",Healthcare,2578.28,10,Active
C1045,"Kavya Verma Solutions",Retail,2578.28,10,Active
C1049,"Farhan Gupta Labs",Education,2578.28,10,Active
C1113,"Riya Iyer Technologies",Healthcare,2578.28,10,Active
C1195,"Aman Gupta Labs",Finance,2578.28,10,Active
C1290,"Riya Singh Systems",Manufacturing,2578.28,10,Paused
C1352,"Aditya Patel Industries",Manufacturing,2578.28,10,Active
C1030,"Rohan Bose Solutions",Finance,2458.36,9,Active
C1076,"Arun Khan Labs",Education,2458.36,9,Active
C1308,"Naveen Gupta Labs",Unknown,2458.36,9,Active
C1324,"Karthik Reddy Technologies",Media,2458.36,9,Active
C1349,"Krishna Joshi Systems",Finance,2458.36,9,Active
C1412,"Farhan Verma Solutions",Manufacturing,2458.36,9,Churned
C1166,"Deepak Joshi Industries",Education,2338.44,8,Active
C1204,"Aman Reddy Systems",Manufacturing,2338.44,8,Active
C1242,"Deepak Bose Group",Finance,2338.44,8,Churned
C1263,"Deepak Reddy Industries",Media,2338.44,8,Active
C1325,"Ishaan Reddy Group",Healthcare,2338.44,8,Active
C1102,"Deepak Iyer Solutions",Retail,2218.52,7,Paused
C1156,"Diya Sharma Technologies",Retail,2218.52,7,Active
C1198,"Ananya Sharma Labs",Finance,2218.52,7,Active
C1272,"Pooja Joshi Industries",Finance,2218.52,7,Active
C1341,"Isha Singh Group",Healthcare,2218.52,7,Active
C1381,"Diya Nair Systems",Media,2218.52,7,Churned
C1385,"Vihaan Das Group",Logistics,2218.52,7,Churned
C1009,"Rohan Patel Technologies",Education,2098.6,6,Active
C1018,"Myra Khan Systems",Finance,2098.6,6,Active
C1046,"Tara Patel Industries",Retail,2098.6,3,Churned
C1049,"Farhan Gupta Labs",Education,2098.6,6,Churned
C1100,"Priya Gupta Solutions",Healthcare,2098.6,6,Active
C1155,"Naveen Verma Technologies",Manufacturing,2098.6,6,Active
C1162,"Divya Nair Technologies",Logistics,2098.6,6,Churned
C1194,"Zoya Bose Group",Retail,2098.6,6,Churned
C1241,"Rohan Iyer Group",Healthcare,2098.6,6,Churned
C1252,"Meera Sharma Industries",Media,2098.6,6,Churned
C1267,"Nikita Rao Industries",Retail,2098.6,6,Churned
C1281,"Farhan Das Group",Finance,2098.6,6,Churned
C1327,"Nikita Menon Group",Media,2098.6,6,Active
C1345,"Rahul Gupta Group",Retail,2098.6,5,Active
C1369,"Meera Reddy Industries",Retail,2098.6,6,Active
C1384,"Arjun Joshi Technologies",Finance,2098.6,6,Active
C1012,"Meera Patel Labs",Healthcare,1978.68,5,Churned
C1035,"Arjun Gupta Industries",Unknown,1978.68,5,Active
C1037,"Diya Das Industries",Education,1978.68,5,Churned
C1149,"Vivaan Verma Technologies",Logistics,1978.68,5,Active
C1182,"Arun Menon Labs",Finance,1978.68,5,Churned
C1250,"Sai Rao Industries",Finance,1978.68,5,Paused
C1256,"Sai Gupta Technologies",Media,1978.68,5,Active
C1261,"Reyansh Menon Labs",Retail,1978.68,5,Churned
C1282,"Nikita Menon Solutions",Healthcare,1978.68,5,Active
C1284,"Zoya Das Group",Retail,1978.68,5,Active
C1313,"Krishna Joshi Solutions",Manufacturing,1978.68,5,Active
C1334,"Sai Menon Group",Manufacturing,1978.68,5,Active
C1350,"Deepak Gupta Labs",Education,1978.68,5,Active
C1364,"Aarav Bose Labs",Manufacturing,1978.68,5,Paused
C1013,"Farhan Das Industries",Retail,1858.76,4,Churned
C1094,"Isha Nair Solutions",Retail,1858.76,4,Active
C1121,"Ishaan Singh Group",Logistics,1858.76,4,Active
C1194,"Zoya Bose Group",Retail,1858.76,4,Churned
C1201,"Naveen Patel Labs",Manufacturing,1858.76,4,Active
C1217,"Sai Iyer Industries",Logistics,1858.76,4,Churned
C1257,"Vihaan Patel Solutions",Manufacturing,1858.76,4,Churned
C1239,"Pooja Nair Solutions",Manufacturing,1738.84,3,Churned
C1006,"Sanjay Reddy Labs",Manufacturing,1618.92,2,Active
C1288,"Kiara Das Labs",Retail,1618.92,2,Active
C1380,"Ishaan Reddy Labs",Media,1618.92,2,Churned
C1050,"Arun Khan Solutions",Retail,1499,1,Churned
C1275,"Nikita Verma Technologies",Logistics,1499,1,Churned
C1016,"Diya Singh Industries",Media,978.04,13,Churned
C1397,"Divya Reddy Group",Logistics,938.12,12,Active
C1065,"Priya Verma Systems",Education,898.2,11,Active
C1224,"Isha Patel Technologies",Manufacturing,898.2,11,Active
C1129,"Farhan Reddy Labs",Manufacturing,858.28,10,Churned
C1203,"Saanvi Reddy Industries",Education,858.28,10,Active
C1008,"Nikita Gupta Solutions",Logistics,818.36,9,Active
C1054,"Arjun Bose Group",Manufacturing,818.36,9,Active
C1086,"Karthik Sharma Systems",Media,818.36,9,Active
C1098,"Myra Nair Systems",Logistics,818.36,9,Active
C1172,"Reyansh Menon Industries",Healthcare,818.36,9,Churned
C1184,"Meera Verma Group",Manufacturing,818.36,9,Active
C1202,"Karthik Iyer Labs",Finance,818.36,9,Churned
C1222,"Aarav Verma Labs",Finance,818.36,9,Active
C1251,"Diya Khan Group",Logistics,818.36,9,Active
C1260,"Meera Iyer Technologies",Finance,818.36,6.5,Active
C1273,"Ananya Menon Systems",Manufacturing,818.36,9,Active
C1023,"Meera Menon Industries",Media,778.44,8,Active
C1027,"Vihaan Bose Group",Manufacturing,778.44,8,Churned
C1079,"Arun Rao Industries",Education,778.44,8,Active
C1148,"Divya Bose Solutions",Education,778.44,8,Active
C1151,"Aman Gupta Solutions",Manufacturing,778.44,8,Churned
C1188,"Tara Rao Industries",Healthcare,778.44,8,Active
C1205,"Isha Joshi Labs",Healthcare,778.44,8,Churned
C1259,"Priya Reddy Systems",Manufacturing,778.44,8,Active
C1285,"Isha Verma Solutions",Healthcare,778.44,8,Active
C1302,"Ishaan Singh Industries",Logistics,778.44,8,Churned
C1310,"Riya Das Technologies",Logistics,778.44,8,Active
C1335,"Karthik Rao Systems",Logistics,778.44,8,Active
C1365,"Diya Joshi Industries",Finance,778.44,8,Active
C1374,"Ananya Joshi Industries",Finance,778.44,8,Active
C1404,"Rahul Nair Labs",Logistics,778.44,8,Active
C1415,"Sneha Rao Group",Retail,778.44,8,Active
C1075,"Ishaan Khan Industries",Healthcare,738.52,7,Active
C1117,"Arun Gupta Labs",Education,738.52,7,Churned
C1186,"Diya Rao Technologies",Media,738.52,7,Active
C1206,"Zoya Gupta Group",Logistics,738.52,7,Active
C1232,"Rohan Bose Systems",Finance,738.52,7,Active
C1247,"Karthik Sharma Technologies",Manufacturing,738.52,7,Active
C1248,"Farhan Bose Solutions",Media,738.52,7,Active
C1389,"Meera Sharma Industries",Education,738.52,7,Active
C1407,"Meera Gupta Labs",Logistics,738.52,7,Active
C1026,"Vivaan Singh Solutions",Manufacturing,698.6,6,Churned
