CustomerID,TotalMRR
C1049,4676.88
C1194,3957.3599999999997
C1395,3177.88
C1103,3057.96
C1144,2698.2
C1242,2648.88
C1034,2578.28
C1045,2578.28
C1113,2578.28
C1195,2578.28
C1290,2578.28
C1352,2578.28
C1076,2542.6400000000003
C1412,2534.8
C1030,2458.36
C1308,2458.36
C1324,2458.36
C1349,2458.36
C1166,2338.44
C1204,2338.44
C1263,2338.44
C1325,2338.44
C1102,2218.52
C1156,2218.52
C1198,2218.52
C1272,2218.52
C1341,2218.52
C1381,2218.52
C1385,2218.52
C1009,2098.6
C1018,2098.6
C1046,2098.6
C1100,2098.6
C1155,2098.6
C1162,2098.6
C1241,2098.6
C1252,2098.6
C1267,2098.6
C1281,2098.6
C1327,2098.6
C1345,2098.6
C1369,2098.6
C1384,2098.6
C1012,1978.68
C1035,1978.68
C1037,1978.68
C1149,1978.68
C1182,1978.68
C1250,1978.68
C1256,1978.68
C1261,1978.68
C1282,1978.68
C1284,1978.68
C1313,1978.68
C1334,1978.68
C1350,1978.68
C1364,1978.68
C1013,1931.28
C1094,1858.76
C1121,1858.76
C1201,1858.76
C1217,1858.76
C1257,1858.76
C1050,1825.3600000000001
C1239,1738.84
C1006,1618.92
C1288,1618.92
C1380,1618.92
C1275,1499
C1202,1112.88
C1230,1009.04
C1016,978.04
C1397,938.12
C1065,898.2
C1224,898.2
C1129,858.28
C1203,858.28
C1008,818.36
C1054,818.36
C1086,818.36
C1098,818.36
C1172,818.36
C1184,818.36
C1222,818.36
C1251,818.36
C1260,818.36
C1273,818.36
C1023,778.44
C1027,778.44
C1079,778.44
C1148,778.44
C1151,778.44
C1188,778.44
C1205,778.44
C1259,778.44
C1285,778.44
C1302,778.44
C1310,778.44
C1335,778.44
C1365,778.44
C1374,778.44
C1404,778.44
C1415,778.44
C1132,775.04
C1075,738.52
C1117,738.52
C1186,738.52
C1206,738.52
C1232,738.52
C1247,738.52
C1248,738.52
C1389,738.52
C1407,738.52
C1154,723.3599999999999
C1026,698.6
C1029,698.6
C1043,698.6
C1105,698.6
C1227,698.6
C1249,698.6
C1264,698.6
C1297,698.6
C1355,698.6
C1377,698.6
C1007,658.68
C1048,658.68
C1056,658.68
C1059,658.68
C1093,658.68
C1111,658.68
C1169,658.68
C1209,658.68
C1220,658.68
C1258,658.68
C1296,658.68
C1336,658.68
C1359,658.68
C1361,658.68
C1370,658.68
C1399,658.68
C1416,658.68
