SubscriptionID,CustomerID,PlanName,BillingTerm,Seats,MRR,StartDate,EndDate,Status
S5001,C1001,Growth,Monthly,6.0,278.6,2023-07-02,2024-10-21,Churned
S5002,C1002,Growth,Monthly,4.0,246.76,2024-02-21,,Active
S5003,C1003,Growth,Annual,6.0,278.6,2023-09-12,,Active
S5004,C1004,Starter,Annual,9.0,80.36,2024-03-01,,Active
S5005,C1005,Business,Monthly,4.0,618.76,2023-12-29,2025-08-23,Churned
S5006,C1006,Enterprise,Annual,2.0,1618.92,2024-09-15,,Active
S5007,C1007,Business,Annual,5.0,658.68,2023-03-26,,Active
S5008,C1008,Business,Annual,9.0,818.36,2024-02-21,,Active
S5009,C1009,Enterprise,Monthly,6.0,2098.6,2023-07-27,,Active
S5010,C1010,Growth,Monthly,6.0,278.6,2023-11-15,2024-04-10,Churned
S5011,C1011,Growth,Annual,5.0,262.68,2023-05-11,,Active
S5012,C1012,Enterprise,Annual,5.0,1978.68,2023-02-15,2023-11-14,Churned
S5013,C1013,Enterprise,Annual,4.0,1858.76,2024-12-10,2026-02-28,Churned
S5014,C1013,Starter,Annual,7.0,72.52,2026-05-03,,Active
S5015,C1014,Starter,Monthly,6.0,68.6,2024-07-10,,Active
S5016,C1015,Growth,Monthly,4.0,246.76,2024-01-15,,Active
S5017,C1016,Business,Monthly,13.0,978.04,2024-01-16,2025-06-24,Churned
S5018,C1017,Starter,Annual,4.0,60.76,2024-06-05,,Active
S5019,C1018,Enterprise,Monthly,6.0,2098.6,2024-03-06,,Active
S5020,C1019,Growth,Monthly,9.0,326.36,2024-04-30,,Active
S5021,C1020,Starter,Monthly,6.0,68.6,2023-12-04,2024-06-27,Churned
S5022,C1021,Starter,Annual,8.0,76.44,2023-05-14,,Active
S5023,C1022,Starter,Monthly,5.0,64.68,2023-09-26,,Active
S5024,C1023,Business,Monthly,8.0,778.44,2024-08-02,,Active
S5025,C1024,Growth,Monthly,4.0,246.76,2024-10-17,,Active
S5026,C1025,Growth,Monthly,5.0,262.68,2023-04-22,,Active
S5027,C1026,Business,Annual,6.0,698.6,2024-05-04,2025-12-26,Churned
S5028,C1027,Business,Annual,8.0,778.44,2023-05-06,2023-10-26,Churned
S5029,C1028,Growth,Annual,7.0,294.52,2023-06-06,2024-12-18,Churned
S5030,C1029,Business,Monthly,6.0,698.6,2024-01-20,,Active
S5031,C1030,Enterprise,Annual,9.0,2458.36,2023-04-24,,Active
S5032,C1031,Growth,Monthly,7.0,294.52,2025-01-26,,Active
S5033,C1032,Starter,Monthly,4.0,60.76,2025-01-09,,Active
S5034,C1033,Growth,Monthly,10.0,342.28,2023-11-30,,Active
S5035,C1034,Enterprise,Monthly,10.0,2578.28,2025-01-26,,Active
S5036,C1035,Enterprise,Monthly,5.0,1978.68,2023-06-21,,Active
S5037,C1036,Starter,Annual,9.0,80.36,2023-08-24,,Active
S5038,C1037,Enterprise,Monthly,5.0,1978.68,2024-02-26,2025-09-14,Churned
S5039,C1038,Growth,Monthly,4.0,246.76,2023-05-06,2024-06-14,Churned
S5040,C1039,Starter,Annual,8.0,76.44,2023-03-23,,Active
S5041,C1040,Growth,Monthly,9.0,326.36,2024-02-13,,Active
S5042,C1041,Growth,Monthly,16.0,437.8,2023-12-30,,Active
S5043,C1042,Starter,Monthly,4.0,60.76,2023-05-12,,Active
S5044,C1043,Business,Annual,6.0,698.6,2023-07-25,2025-03-05,Churned
S5045,C1044,Growth,Annual,4.0,246.76,2024-07-08,2025-01-14,Churned
S5046,C1045,Enterprise,Monthly,10.0,2578.28,2024-06-10,,Active
S5047,C1046,Enterprise,Monthly,3.0,2098.6,2023-09-04,2025-03-03,Churned
S5048,C1047,Starter,Monthly,9.0,80.36,2024-06-01,,Active
S5049,C1048,Business,Monthly,5.0,658.68,2023-07-25,,Active
S5050,C1049,Enterprise,Annual,6.0,2098.6,2024-10-06,2025-12-18,Churned
S5051,C1049,Enterprise,Annual,10.0,2578.28,2026-02-02,,Active
S5052,C1050,Growth,Monthly,9.0,326.36,2023-07-09,2023-12-13,Churned
S5053,C1050,Enterprise,Monthly,1.0,1499.0,2024-02-25,2024-06-21,Churned
S5054,C1051,Growth,Monthly,5.0,262.68,2024-08-01,,Active
S5055,C1052,Growth,Monthly,13.0,390.04,2024-05-10,,Active
S5056,C1053,Growth,Annual,8.0,310.44,2023-05-25,2024-07-01,Churned
S5057,C1054,Business,Monthly,9.0,818.36,2024-11-14,,Active
S5058,C1055,Starter,Annual,6.0,68.6,2023-03-25,2024-08-05,Churned
S5059,C1056,Business,Annual,5.0,658.68,2024-07-30,,Active
S5060,C1057,Starter,Annual,8.0,76.44,2023-11-12,,Active
S5061,C1058,Starter,Monthly,5.0,64.68,2024-08-27,2025-01-11,Churned
S5062,C1059,Business,Annual,5.0,658.68,2024-07-16,,Active
S5063,C1060,Starter,Annual,9.0,80.36,2023-07-09,,Active
S5064,C1061,Growth,Monthly,8.0,310.44,2023-06-02,,Active
S5065,C1062,Growth,Annual,11.0,358.2,2023-06-02,2023-08-03,Churned
S5066,C1063,Starter,Monthly,3.0,56.84,2023-06-09,2024-03-13,Churned
S5067,C1064,Starter,Monthly,6.0,68.6,2024-03-21,,Active
S5068,C1065,Business,Monthly,11.0,898.2,2023-10-25,,Active
S5069,C1066,Starter,Monthly,11.0,88.2,2024-07-18,,Active
S5070,C1067,Growth,Monthly,9.0,326.36,2024-02-10,,Active
S5071,C1068,Growth,Annual,5.0,262.68,2024-11-04,,Active
S5072,C1069,Starter,Monthly,9.0,80.36,2023-08-15,,Active
S5073,C1070,Starter,Monthly,5.0,64.68,2025-01-25,,Active
S5074,C1071,Growth,Monthly,9.0,326.36,2024-09-11,,Active
S5075,C1072,Growth,Monthly,6.0,278.6,2023-04-22,,Active
S5076,C1073,Starter,Monthly,10.0,84.28,2023-08-20,,Active
S5077,C1074,Growth,Monthly,7.0,294.52,2024-10-11,,Active
