TicketID,CustomerID,OpenedDate,Category,Priority,ResolutionHours,SatisfactionScore
T20001,C1280,2024-01-01,Onboarding,High,14.3,8.0
T20002,C1362,2023-05-26,Outage,Low,57.5,2.0
T20003,C1125,2024-08-17,Feature Request,Low,86.7,4.0
T20004,C1178,2024-04-19,Technical,High,10.8,6.0
T20005,C1218,2023-09-25,Technical,Medium,45.7,7.0
T20006,C1161,2023-04-13,Outage,Medium,32.6,3.0
T20007,C1162,2023-08-12,Outage,Low,48.9,6.0
T20008,C1303,2023-09-10,Technical,High,16.2,5.0
T20009,C1282,2024-06-18,Technical,Low,63.6,7.0
T20010,C1256,2023-08-25,Onboarding,High,13.600000000000001,9.0
T20011,C1328,2024-09-12,Technical,Low,47.0,4.0
T20012,C1230,2024-05-27,Technical,Medium,51.4,5.0
T20013,C1366,2024-09-24,Technical,High,14.6,7.0
T20014,C1022,2024-09-11,Technical,Low,68.8,6.0
T20015,C1401,2024-11-03,Technical,Medium,24.6,4.0
T20016,C1209,2023-08-18,Billing,High,12.3,7.0
T20017,C1408,2023-04-23,Feature Request,High,13.6,6.0
T20018,C1140,2024-04-27,Feature Request,Low,60.5,4.0
T20019,C1315,2023-07-19,Outage,Medium,26.9,6.0
T20020,C1401,2024-08-13,Feature Request,Low,60.2,6.0
T20021,C1312,2023-10-20,Technical,Medium,17.8,9.0
T20022,C1033,2023-05-14,Feature Request,Low,61.2,5.0
T20023,C1367,2023-04-22,Technical,Medium,32.4,4.0
T20024,C1287,2024-02-11,Outage,Low,50.3,2.0
T20025,C1396,2023-07-20,Onboarding,High,13.9,7.0
T20026,C1020,2024-01-25,Technical,Low,63.2,6.0
T20027,C1403,2023-12-26,Feature Request,Medium,40.0,8.0
T20028,C1352,2023-09-06,Technical,High,1.0,7.0
T20029,C1197,2023-08-18,Technical,Low,75.1,5.0
T20030,C1313,2024-06-27,Billing,Medium,36.2,5.0
T20031,C1262,2024-09-23,Onboarding,Low,57.7,5.0
T20032,C1105,2023-01-25,Technical,High,12.9,8.0
T20033,C1182,2024-11-01,Technical,High,0.4,4.0
T20034,C1153,2024-10-29,Onboarding,High,12.7,8.0
T20035,C1018,2024-03-14,Onboarding,High,10.7,6.0
T20036,C1147,2023-03-02,Billing,High,27.3,3.0
T20037,C1049,2023-04-30,Technical,Medium,41.0,7.0
T20038,C1377,2024-02-15,Onboarding,Medium,38.6,6.0
T20039,C1071,2024-09-11,Technical,Low,48.2,4.0
T20040,C1078,2024-10-08,Technical,Medium,37.5,6.0
T20041,C1144,2024-09-02,Technical,Low,71.1,2.0
T20042,C1050,2024-03-30,Billing,Low,57.1,6.0
T20043,C1141,2023-11-02,Technical,Critical,0.2,6.0
T20044,C1386,2023-10-14,Technical,High,5.3,5.0
T20045,C1036,2024-11-15,Billing,High,7.3,7.0
T20046,C1354,2023-04-25,Technical,Medium,37.5,4.0
T20047,C1380,2024-06-12,Billing,Medium,30.3,3.0
T20048,C1026,2023-06-28,Technical,Low,52.7,4.0
T20049,C1150,2024-07-06,Technical,Low,63.6,7.0
T20050,C1107,2024-08-30,Onboarding,Low,55.8,4.0
T20051,C1073,2024-07-10,Onboarding,Low,68.1,3.0
T20052,C1003,2024-01-04,Technical,Medium,37.3,4.0
T20053,C1103,2023-09-15,Technical,Low,68.0,4.0
T20054,C1135,2024-02-01,Technical,Low,63.5,3.0
T20055,C1159,2023-07-06,Outage,Low,48.3,6.0
T20056,C1346,2024-06-01,Technical,Medium,26.7,7.0
T20057,C1362,2023-05-30,Outage,High,27.5,3.0
T20058,C1279,2024-11-06,Onboarding,Medium,28.6,3.0
T20059,C1137,2024-07-29,Outage,Low,64.3,4.0
T20060,C1300,2023-02-18,Technical,Low,58.9,5.0
T20061,C1191,2023-07-17,Feature Request,Medium,42.3,7.0
T20062,C1346,2024-09-29,Technical,Low,61.9,7.0
T20063,C1134,2024-01-06,Billing,Critical,1.1,6.0
T20064,C1246,2023-10-05,Technical,Medium,44.1,7.0
T20065,C1156,2024-09-19,Feature Request,Critical,8.2,6.0
T20066,C1303,2023-01-03,Billing,Low,68.1,4.0
T20067,C1122,2024-12-06,Feature Request,Low,65.5,4.0
T20068,C1386,2024-09-17,Technical,Low,65.6,7.0
T20069,C1091,2024-11-01,Onboarding,Low,49.2,1.0
T20070,C1066,2024-10-12,Feature Request,Low,69.8,1.0
T20071,C1297,2023-10-04,Billing,Medium,24.4,4.0
T20072,C1293,2023-04-18,Technical,Medium,28.4,4.0
T20073,C1228,2023-02-02,Technical,Low,62.5,3.0
T20074,C1089,2024-06-26,Feature Request,Medium,53.2,7.0
T20075,C1323,2023-04-23,Technical,Low,64.2,9.0
T20076,C1094,2023-12-06,Onboarding,Medium,25.7,7.0
T20077,C1390,2023-02-04,Onboarding,High,14.7,8.0
T20078,C1087,2023-09-27,Billing,Medium,55.5,8.0
T20079,C1168,2023-04-21,Feature Request,Critical,3.5,5.0
T20080,C1196,2023-07-21,Billing,High,12.7,8.0
T20081,C1147,2023-12-22,Feature Request,Low,60.1,6.0
T20082,C1383,2024-01-06,Feature Request,Critical,19.9,5.0
T20083,C1142,2024-09-27,Billing,Low,47.2,8.0
T20084,C1322,2023-12-17,Billing,Low,70.3,6.0
T20086,C1032,2024-01-15,Technical,Low,59.8,1.0
T20087,C1217,2023-10-03,Billing,Critical,4.1,7.0
T20088,C1096,2023-02-08,Technical,Medium,25.0,5.0
T20089,C1318,2024-04-16,Onboarding,Critical,3.4,9.0
T20090,C1113,2023-09-06,Onboarding,Medium,11.1,7.0
T20091,C1198,2023-03-21,Billing,Critical,13.6,9.0
T20092,C1201,2023-03-05,Outage,Low,72.0,3.0
T20093,C1134,2023-05-11,Technical,Low,57.0,4.0
T20094,C1254,2024-01-03,Billing,Low,59.3,5.0
T20095,C1363,2024-01-04,Technical,High,2.4,6.0
T20096,C1113,2023-11-08,Technical,Low,59.6,4.0
T20097,C1098,2024-02-10,Outage,High,6.2,4.0
T20098,C1071,2024-01-11,Outage,Low,50.7,5.0
T20099,C1152,2024-10-24,Feature Request,Medium,31.1,4.0
T20100,C1307,2023-03-19,Onboarding,High,15.9,8.0
T20101,C1068,2023-07-14,Technical,High,8.75,5.0
T20102,C1097,2024-12-21,Technical,Medium,31.8,8.0
T20103,C1098,2023-11-28,Billing,Low,67.6,4.0
T20104,C1367,2024-04-30,Feature Request,Medium,37.8,7.0
T20105,C1175,2024-12-20,Technical,Low,66.7,5.0
T20106,C1225,2023-05-21,Billing,Low,48.8,8.0
T20107,C1139,2024-09-27,Technical,High,9.9,7.0
T20108,C1389,2024-10-05,Feature Request,Medium,23.3,3.0
T20109,C1299,2024-01-28,Onboarding,Medium,25.7,8.0
T20110,C1385,2023-12-07,Feature Request,Low,57.3,5.0
T20111,C1012,2024-02-17,Billing,Medium,46.0,5.0
T20112,C1117,2024-08-16,Feature Request,Critical,15.2,4.0
T20113,C1407,2023-12-13,Technical,Medium,21.8,8.0
T20114,C1338,2023-06-04,Feature Request,High,10.9,6.0
T20115,C1137,2024-04-22,Technical,High,27.2,2.0
T20116,C1123,2024-07-08,Onboarding,Critical,2.8,5.0
T20117,C1175,2024-11-22,Technical,Medium,30.95,4.0
T20118,C1420,2024-07-06,Onboarding,Medium,28.9,5.0
T20119,C1023,2024-08-16,Technical,High,5.2,5.0
T20121,C1206,2023-04-08,Feature Request,Medium,31.4,8.0
T20122,C1406,2024-09-25,Feature Request,Critical,2.6,8.0
T20123,C1158,2024-07-10,Feature Request,Low,61.4,1.0
T20124,C1140,2023-09-08,Technical,Medium,34.4,4.0
T20125,C1084,2024-05-07,Billing,High,27.2,6.0
T20126,C1413,2023-11-21,Onboarding,Medium,25.1,7.0
T20127,C1141,2023-08-17,Technical,Low,74.7,2.0
T20128,C1103,2024-03-07,Feature Request,Critical,22.9,6.0
T20129,C1140,2023-05-22,Onboarding,Critical,14.2,9.0
T20130,C1247,2023-06-11,Billing,Low,72.6,7.0
T20131,C1150,2023-12-12,Feature Request,Medium,27.1,1.0
T20132,C1402,2023-04-19,Technical,Medium,41.0,8.0
T20133,C1263,2024-01-20,Technical,Low,59.4,4.0
T20134,C1204,2024-10-24,Billing,Medium,43.2,4.0
T20135,C1177,2024-11-24,Technical,Medium,31.0,6.0
T20136,C1228,2024-09-01,Billing,High,18.1,6.0
T20137,C1010,2024-01-21,Billing,Low,53.5,5.0
T20138,C1367,2024-11-30,Feature Request,Low,67.6,5.0
T20139,C1108,2023-10-27,Billing,Low,56.9,7.0
T20140,C1145,2024-12-24,Technical,Low,71.0,3.0
T20141,C1111,2024-02-11,Outage,Medium,32.2,3.0
T20142,C1394,2024-05-17,Technical,Medium,41.5,4.0
T20143,C1405,2024-06-27,Outage,Medium,29.5,6.0
T20144,C1065,2023-07-12,Onboarding,Low,51.2,5.0
T20145,C1359,2023-02-02,Billing,Medium,17.0,6.0
T20146,C1305,2024-07-11,Technical,High,29.8,5.0
T20147,C1374,2024-08-04,Onboarding,Medium,35.3,5.0
T20148,C1414,2024-08-05,Onboarding,High,0.0,2.0
T20149,C1077,2023-11-18,Technical,High,16.7,7.0
T20150,C1200,2024-10-31,Technical,Low,44.9,4.0
T20151,C1164,2023-04-13,Feature Request,Medium,40.2,3.0
T20152,C1231,2023-11-25,Technical,High,4.8,5.0
T20153,C1018,2024-12-07,Feature Request,High,0.7,1.0
T20154,C1250,2024-11-19,Technical,High,0.6,9.0
T20155,C1385,2023-07-25,Billing,Low,54.3,6.0
T20156,C1208,2023-09-18,Feature Request,Medium,21.8,7.0
T20157,C1268,2024-05-09,Onboarding,Critical,16.2,9.0
T20158,C1075,2023-06-07,Billing,Medium,19.1,7.0
T20159,C1008,2024-07-23,Onboarding,High,2.3,8.0
T20160,C1338,2023-12-21,Technical,Low,70.2,6.0
T20161,C1404,2023-04-05,Onboarding,Medium,28.8,8.0
T20162,C1239,2023-05-12,Technical,Medium,25.4,9.0
T20163,C1157,2023-02-07,Outage,Low,35.8,6.0
T20164,C1097,2023-06-06,Technical,Medium,35.8,7.0
T20165,C1383,2024-07-16,Billing,High,2.5,10.0
T20166,C1137,2023-01-25,Billing,Medium,20.9,5.0
T20167,C1142,2023-04-02,Feature Request,Low,55.4,5.0
T20168,C1158,2024-01-24,Technical,Medium,58.9,7.0
T20169,C1398,2023-07-15,Onboarding,Low,44.6,6.0
T20170,C1419,2023-01-29,Feature Request,Low,49.8,8.0
T20171,C1282,2024-04-18,Technical,Low,69.5,2.0
T20172,C1302,2024-12-04,Outage,Low,54.3,3.0
T20173,C1332,2024-07-17,Onboarding,High,29.1,3.0
T20174,C1357,2024-01-20,Technical,Low,76.0,4.0
T20175,C1409,2024-10-19,Feature Request,Critical,3.0,8.0
T20176,C1242,2024-09-04,Feature Request,Medium,8.8,6.0
T20177,C1055,2023-12-05,Billing,Medium,34.4,8.0
T20178,C1338,2024-08-20,Technical,Medium,43.1,7.0
T20179,C1307,2023-11-08,Billing,Critical,0.6,8.0
T20180,C1319,2023-04-14,Onboarding,High,21.4,7.0
T20181,C1355,2023-05-23,Outage,High,8.7,8.0
T20182,C1070,2024-10-03,Onboarding,High,14.2,6.0
T20183,C1363,2023-10-02,Technical,Low,59.5,3.0
T20184,C1130,2024-08-06,Technical,High,9.3,6.0
T20185,C1253,2023-10-27,Technical,High,5.1,8.0
T20186,C1040,2023-10-13,Outage,Low,65.0,6.0
T20187,C1114,2024-04-05,Outage,Low,66.4,4.0
T20188,C1071,2023-12-10,Billing,Medium,38.3,6.0
T20189,C1183,2024-11-13,Onboarding,Low,44.6,5.0
T20190,C1145,2024-11-20,Outage,Medium,41.0,6.0
T20191,C1068,2024-11-25,Technical,Low,67.7,6.0
T20192,C1024,2023-11-29,Feature Request,Low,80.1,6.0
T20193,C1175,2024-03-02,Billing,Low,70.8,5.0
T20194,C1002,2024-05-26,Billing,Low,41.9,3.0
T20195,C1312,2024-12-28,Technical,Low,50.6,2.0
T20196,C1365,2023-03-05,Outage,Medium,38.7,1.0
T20197,C1316,2024-05-11,Onboarding,Low,58.8,6.0
T20198,C1094,2023-10-01,Onboarding,Medium,25.9,3.0
T20199,C1140,2024-06-08,Technical,Low,57.7,3.0
T20200,C1179,2024-11-05,Feature Request,Medium,32.5,2.0
T20201,C1072,2023-04-06,Outage,High,5.8,7.0
T20202,C1212,2024-08-16,Onboarding,Low,72.5,7.0
T20203,C1119,2024-07-16,Feature Request,Low,63.4,6.0
T20204,C1411,2023-02-06,Feature Request,Low,49.6,6.0
T20205,C1267,2023-09-01,Technical,High,15.0,8.0
T20206,C1091,2024-09-25,Outage,Medium,50.7,1.0
T20207,C1184,2023-04-30,Technical,Critical,4.2,2.0
T20208,C1029,2023-01-01,Outage,Medium,41.8,4.0
T20209,C1254,2024-11-04,Onboarding,Medium,28.6,7.0
T20210,C1063,2023-08-27,Outage,Low,64.1,3.0
T20211,C1280,2023-02-21,Billing,Low,64.7,2.0
T20212,C1177,2024-04-16,Onboarding,Medium,25.4,4.0
T20213,C1052,2024-11-29,Technical,Low,67.4,6.0
T20214,C1214,2023-05-19,Technical,Low,75.1,6.0
T20215,C1033,2023-01-25,Technical,Low,60.4,7.0
T20216,C1313,2023-12-02,Onboarding,Low,50.4,4.0
T20217,C1269,2024-02-26,Technical,Low,70.8,5.0
T20218,C1046,2024-03-04,Technical,Low,66.7,6.0
T20219,C1140,2024-03-05,Billing,Medium,26.2,6.0
T20220,C1235,2023-08-28,Feature Request,Medium,29.450000000000003,7.0
T20221,C1005,2023-02-10,Billing,Critical,12.9,7.0
T20222,C1072,2024-06-21,Billing,Low,67.9,7.0
T20223,C1165,2023-08-21,Onboarding,Low,64.3,6.0
T20224,C1079,2023-09-21,Outage,Low,54.9,8.0
T20225,C1236,2023-06-16,Onboarding,Medium,26.9,6.0
T20226,C1273,2023-10-25,Technical,Low,50.0,2.0
T20227,C1248,2024-08-15,Billing,High,0.9,9.0
T20228,C1314,2023-12-23,Technical,Medium,33.9,3.0
T20229,C1234,2023-07-26,Billing,Low,61.0,3.0
T20230,C1077,2024-07-05,Billing,High,19.7,5.0
T20231,C1364,2024-01-19,Onboarding,Low,60.0,4.0
T20232,C1409,2024-02-02,Onboarding,High,9.2,9.0
T20233,C1035,2024-09-03,Billing,Medium,30.1,8.0
T20234,C1280,2024-11-14,Billing,Medium,44.3,3.0
T20235,C1415,2024-12-09,Technical,Critical,7.8,8.0
T20236,C1160,2024-06-08,Technical,Medium,31.0,8.0
T20237,C1099,2023-03-14,Billing,High,3.4,6.0
T20238,C1352,2023-08-05,Billing,Medium,28.6,6.0
T20239,C1324,2023-11-11,Feature Request,Medium,11.3,5.0
T20240,C1354,2023-11-12,Technical,Low,52.9,4.0
T20241,C1182,2024-11-12,Technical,Low,71.0,1.0
T20242,C1222,2023-09-22,Outage,Medium,16.3,7.0
T20243,C1232,2023-11-17,Onboarding,Low,70.1,6.0
T20244,C1022,2024-01-29,Feature Request,Low,52.3,7.0
T20245,C1335,2023-05-20,Outage,Low,63.7,5.0
T20246,C1021,2023-08-19,Outage,High,9.4,5.0
T20247,C1134,2023-01-11,Onboarding,Low,52.5,8.0
T20248,C1195,2024-04-13,Feature Request,Medium,35.2,1.0
T20249,C1358,2023-03-08,Onboarding,High,4.6,8.0
T20251,C1125,2023-02-14,Technical,Low,65.4,5.0
T20252,C1250,2024-01-17,Feature Request,Low,51.1,3.0
T20253,C1262,2024-07-01,Billing,High,21.6,6.0
