CustomerID,SubscriptionID,Month,Logins,ActiveUsers,FeatureUsed,APICalls,SessionMinutes
C1001,S5001,2023-07-01,14,4.0,Export,257,244.7
C1001,S5001,2023-08-01,14,7.0,Integrations,1570,257.6
C1001,S5001,2023-09-01,11,9.0,Reports,486,307.2
C1001,S5001,2023-10-01,14,7.0,Reports,1271,87.8
C1001,S5001,2023-11-01,10,3.0,Alerts,99,165.1
C1001,S5001,2023-12-01,10,4.0,Reports,129,146.8
C1001,S5001,2024-01-01,4,2.0,Reports,673,175.0
C1001,S5001,2024-02-01,16,8.0,Reports,263,114.5
C1001,S5001,2024-03-01,13,5.0,Reports,94,71.5
C1001,S5001,2024-04-01,9,5.0,API,246,153.6
C1001,S5001,2024-05-01,9,8.0,Alerts,341,129.5
C1001,S5001,2024-06-01,9,3.0,Dashboard,1175,19.0
C1001,S5001,2024-07-01,4,1.0,Export,638,236.8
C1001,S5001,2024-08-01,5,4.0,API,488,0.0
C1001,S5001,2024-09-01,4,1.0,Dashboard,68,52.6
C1001,S5001,2024-10-01,2,1.0,Reports,2478,79.7
C1002,S5002,2024-02-01,25,20.0,Export,1281,350.7
C1002,S5002,2024-03-01,17,10.0,API,676,346.8
C1002,S5002,2024-04-01,17,6.0,Integrations,1385,222.1
C1002,S5002,2024-05-01,16,9.0,API,11,140.4
C1002,S5002,2024-06-01,20,11.0,Integrations,1245,312.0
C1002,S5002,2024-07-01,19,11.0,API,1065,274.3
C1002,S5002,2024-08-01,22,16.0,API,1658,269.4
C1002,S5002,2024-09-01,25,12.0,Integrations,6055,394.9
C1002,S5002,2024-10-01,17,13.0,Reports,144,211.8
C1002,S5002,2024-11-01,21,11.0,Reports,1252,216.1
C1002,S5002,2024-12-01,18,15.0,Integrations,740,282.6
C1003,S5003,2023-09-01,11,3.0,Alerts,4702,364.5
C1003,S5003,2023-10-01,11,4.0,Alerts,736,319.1
C1003,S5003,2023-11-01,17,12.0,Alerts,90,370.3
C1003,S5003,2023-12-01,5,1.0,API,460,231.5
C1003,S5003,2024-01-01,7,5.0,Export,337,308.6
C1003,S5003,2024-02-01,19,15.0,API,1050,321.3
C1003,S5003,2024-03-01,11,8.0,Alerts,358,334.1
C1003,S5003,2024-04-01,13,10.0,Dashboard,1056,353.5
C1003,S5003,2024-05-01,15,13.0,Export,2423,221.1
C1003,S5003,2024-06-01,11,4.0,Integrations,614,96.5
C1003,S5003,2024-07-01,11,5.0,API,2426,415.1
C1003,S5003,2024-08-01,11,8.0,Dashboard,2604,129.8
C1003,S5003,2024-09-01,11,6.0,Alerts,920,261.4
C1003,S5003,2024-10-01,6,2.0,Alerts,1190,317.5
C1003,S5003,2024-11-01,21,17.0,Reports,609,405.6
C1003,S5003,2024-12-01,7,3.0,Reports,196,284.3
C1004,S5004,2024-03-01,14,9.0,API,890,183.4
C1004,S5004,2024-04-01,8,3.0,Reports,2156,140.4
C1004,S5004,2024-05-01,9,3.0,Reports,2389,441.9
C1004,S5004,2024-06-01,5,3.0,Reports,2295,248.4
C1004,S5004,2024-07-01,9,2.0,Integrations,934,225.9
C1004,S5004,2024-08-01,10,7.0,Alerts,510,219.2
C1004,S5004,2024-09-01,6,4.0,Export,776,254.6
C1004,S5004,2024-10-01,9,5.0,API,2544,288.9
C1004,S5004,2024-11-01,5,4.0,Alerts,1083,323.1
C1004,S5004,2024-12-01,7,2.0,Export,435,204.2
C1005,S5005,2023-12-01,15,4.0,Alerts,414,209.5
C1005,S5005,2024-01-01,11,5.0,API,4376,343.9
C1005,S5005,2024-02-01,16,6.0,Dashboard,2545,238.0
C1005,S5005,2024-03-01,18,14.0,Export,392,7.5
C1005,S5005,2024-04-01,11,3.0,API,356,255.6
