RiskRank,CustomerID,Status,TotalMRR,AvgLogins,TicketCount,AvgResolutionHours,StatusRisk,LowLoginRisk,HighTicketRisk,SlowResolutionRisk,RiskScore,RiskLevel
1,C1385,Churned,2218.52,1.5,5.0,52.879999999999995,1,1,1,1,4,High Risk
2,C1046,Churned,2098.6,2.1875,6.0,46.65,1,1,1,1,4,High Risk
3,C1398,Churned,326.36,3.4166666666666665,4.0,48.150000000000006,1,1,1,1,4,High Risk
4,C1287,Churned,230.84,2.3333333333333335,4.0,49.175,1,1,1,1,4,High Risk
5,C1412,Churned,2534.8,4.75,1.0,70.0,1,1,0,1,3,High Risk
6,C1325,Active,2338.44,4.55,4.0,62.10000000000001,0,1,1,1,3,High Risk
7,C1281,Churned,2098.6,2.125,2.0,47.95,1,1,0,1,3,High Risk
8,C1012,Churned,1978.68,1.4,1.0,46.0,1,1,0,1,3,High Risk
9,C1037,Churned,1978.68,3.8181818181818183,3.0,50.06666666666667,1,1,0,1,3,High Risk
10,C1182,Churned,1978.68,2.3125,4.0,42.075,1,1,1,0,3,High Risk
11,C1016,Churned,978.04,3.1666666666666665,4.0,38.9,1,1,1,0,3,High Risk
12,C1154,Churned,723.3599999999999,2.6666666666666665,1.0,77.3,1,1,0,1,3,High Risk
13,C1150,Churned,578.84,0.0,3.0,45.0,1,1,0,1,3,High Risk
14,C1378,Active,383.20000000000005,1.6428571428571428,4.0,53.199999999999996,0,1,1,1,3,High Risk
15,C1328,Churned,342.28,9.583333333333334,4.0,46.775,1,0,1,1,3,High Risk
16,C1401,Churned,342.28,2.7,4.0,33.975,1,1,1,0,3,High Risk
17,C1189,Churned,310.44,3.8,1.0,59.0,1,1,0,1,3,High Risk
18,C1255,Churned,310.44,1.0,1.0,70.2,1,1,0,1,3,High Risk
19,C1152,Churned,294.52,3.8,5.0,39.660000000000004,1,1,1,0,3,High Risk
20,C1265,Active,294.52,4.2,4.0,45.25,0,1,1,1,3,High Risk
21,C1140,Churned,278.6,9.0,7.0,46.228571428571435,1,0,1,1,3,High Risk
22,C1277,Churned,278.6,4.684210526315789,3.0,55.76666666666667,1,1,0,1,3,High Risk
23,C1390,Churned,278.6,1.8,5.0,22.119999999999997,1,1,1,0,3,High Risk
24,C1305,Churned,262.68,1.5,5.0,34.04,1,1,1,0,3,High Risk
25,C1411,Active,262.68,0.0,5.0,60.2,0,1,1,1,3,High Risk
26,C1038,Churned,246.76,5.071428571428571,4.0,49.275,1,0,1,1,3,High Risk
27,C1383,Active,92.12,3.0,6.0,47.416666666666664,0,1,1,1,3,High Risk
28,C1125,Churned,88.2,12.214285714285714,5.0,55.94000000000001,1,0,1,1,3,High Risk
29,C1143,Churned,88.2,6.125,4.0,52.824999999999996,1,0,1,1,3,High Risk
30,C1218,Active,84.28,0.0,5.0,45.62,0,1,1,1,3,High Risk
31,C1089,Active,72.52,2.75,4.0,52.925,0,1,1,1,3,High Risk
32,C1278,Churned,72.52,2.727272727272727,6.0,25.349999999999998,1,1,1,0,3,High Risk
33,C1097,Churned,68.6,4.0,5.0,31.339999999999996,1,1,1,0,3,High Risk
34,C1022,Active,64.68,2.75,8.0,46.9625,0,1,1,1,3,High Risk
35,C1240,Paused,64.68,0.0,2.0,48.05,1,1,0,1,3,High Risk
36,C1032,Active,60.76,0.0,5.0,48.54,0,1,1,1,3,High Risk
37,C1087,Active,60.76,5.0,4.0,51.0,0,1,1,1,3,High Risk
38,C1194,Churned,3957.3599999999997,10.5,5.0,39.46,1,0,1,0,2,Medium Risk
39,C1290,Paused,2578.28,21.45,4.0,24.025,1,0,1,0,2,Medium Risk
40,C1308,Active,2458.36,3.3333333333333335,1.0,60.55,0,1,0,1,2,Medium Risk
41,C1263,Active,2338.44,0.0,1.0,59.4,0,1,0,1,2,Medium Risk
42,C1272,Active,2218.52,4.222222222222222,5.0,36.839999999999996,0,1,1,0,2,Medium Risk
43,C1241,Churned,2098.6,11.823529411764707,1.0,47.0,1,0,0,1,2,Medium Risk
