CohortMonth,MonthsSinceSignup,ActiveCustomers,CohortSize,RetentionRate
2023-01-01,0,11,11,100.0
2023-01-01,1,11,11,100.0
2023-01-01,2,11,11,100.0
2023-01-01,3,11,11,100.0
2023-01-01,4,11,11,100.0
2023-01-01,5,11,11,100.0
2023-01-01,6,11,11,100.0
2023-01-01,7,11,11,100.0
2023-01-01,8,11,11,100.0
2023-01-01,9,11,11,100.0
2023-01-01,10,11,11,100.0
2023-01-01,11,11,11,100.0
2023-01-01,12,11,11,100.0
2023-01-01,13,11,11,100.0
2023-01-01,14,11,11,100.0
2023-01-01,15,11,11,100.0
2023-01-01,16,11,11,100.0
2023-01-01,17,11,11,100.0
2023-01-01,18,11,11,100.0
2023-01-01,19,10,11,90.9090909090909
2023-01-01,20,10,11,90.9090909090909
2023-01-01,21,10,11,90.9090909090909
2023-01-01,22,10,11,90.9090909090909
2023-01-01,23,10,11,90.9090909090909
2023-02-01,0,16,16,100.0
2023-02-01,1,16,16,100.0
2023-02-01,2,16,16,100.0
2023-02-01,3,16,16,100.0
2023-02-01,4,16,16,100.0
2023-02-01,5,15,16,93.75
2023-02-01,6,15,16,93.75
2023-02-01,7,15,16,93.75
2023-02-01,8,15,16,93.75
2023-02-01,9,15,16,93.75
2023-02-01,10,14,16,87.5
2023-02-01,11,14,16,87.5
2023-02-01,12,14,16,87.5
2023-02-01,13,13,16,81.25
2023-02-01,14,13,16,81.25
2023-02-01,15,13,16,81.25
2023-02-01,16,12,16,75.0
2023-02-01,17,12,16,75.0
2023-02-01,18,12,16,75.0
2023-02-01,19,12,16,75.0
2023-02-01,20,12,16,75.0
2023-02-01,21,12,16,75.0
2023-02-01,22,12,16,75.0
2023-03-01,0,19,19,100.0
2023-03-01,1,19,19,100.0
2023-03-01,2,19,19,100.0
2023-03-01,3,19,19,100.0
2023-03-01,4,18,19,94.73684210526315
2023-03-01,5,16,19,84.21052631578947
2023-03-01,6,16,19,84.21052631578947
2023-03-01,7,17,19,89.47368421052632
2023-03-01,8,17,19,89.47368421052632
2023-03-01,9,17,19,89.47368421052632
2023-03-01,10,17,19,89.47368421052632
2023-03-01,11,17,19,89.47368421052632
2023-03-01,12,16,19,84.21052631578947
2023-03-01,13,16,19,84.21052631578947
2023-03-01,14,16,19,84.21052631578947
2023-03-01,15,16,19,84.21052631578947
2023-03-01,16,16,19,84.21052631578947
2023-03-01,17,16,19,84.21052631578947
2023-03-01,18,15,19,78.94736842105263
2023-03-01,19,15,19,78.94736842105263
2023-03-01,20,15,19,78.94736842105263
2023-03-01,21,15,19,78.94736842105263
2023-04-01,0,19,19,100.0
2023-04-01,1,19,19,100.0
2023-04-01,2,18,19,94.73684210526315
2023-04-01,3,18,19,94.73684210526315
2023-04-01,4,18,19,94.73684210526315
2023-04-01,5,18,19,94.73684210526315
2023-04-01,6,18,19,94.73684210526315
2023-04-01,7,18,19,94.73684210526315
2023-04-01,8,18,19,94.73684210526315
2023-04-01,9,18,19,94.73684210526315
2023-04-01,10,18,19,94.73684210526315
2023-04-01,11,18,19,94.73684210526315
2023-04-01,12,18,19,94.73684210526315
2023-04-01,13,18,19,94.73684210526315
2023-04-01,14,18,19,94.73684210526315
2023-04-01,15,18,19,94.73684210526315
2023-04-01,16,18,19,94.73684210526315
2023-04-01,17,18,19,94.73684210526315
2023-04-01,18,18,19,94.73684210526315
2023-04-01,19,18,19,94.73684210526315
2023-04-01,20,18,19,94.73684210526315
2023-05-01,0,25,25,100.0
2023-05-01,1,25,25,100.0
2023-05-01,2,25,25,100.0
2023-05-01,3,25,25,100.0
2023-05-01,4,24,25,96.0
2023-05-01,5,24,25,96.0
2023-05-01,6,23,25,92.0
2023-05-01,7,23,25,92.0
2023-05-01,8,23,25,92.0
2023-05-01,9,23,25,92.0
2023-05-01,10,22,25,88.0
2023-05-01,11,22,25,88.0
2023-05-01,12,21,25,84.0
2023-05-01,13,21,25,84.0
2023-05-01,14,19,25,76.0
2023-05-01,15,18,25,72.0
2023-05-01,16,17,25,68.0
2023-05-01,17,17,25,68.0
2023-05-01,18,17,25,68.0
2023-05-01,19,17,25,68.0
2023-06-01,0,16,16,100.0
2023-06-01,1,16,16,100.0
2023-06-01,2,16,16,100.0
2023-06-01,3,15,16,93.75
