CohortMonth,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2023-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.9090909090909,90.9090909090909,90.9090909090909,90.9090909090909,90.9090909090909
2023-02,100.0,100.0,100.0,100.0,100.0,93.75,93.75,93.75,93.75,93.75,87.5,87.5,87.5,81.25,81.25,81.25,75.0,75.0,75.0,75.0,75.0,75.0,75.0,
2023-03,100.0,100.0,100.0,100.0,94.73684210526315,84.21052631578947,84.21052631578947,89.47368421052632,89.47368421052632,89.47368421052632,89.47368421052632,89.47368421052632,84.21052631578947,84.21052631578947,84.21052631578947,84.21052631578947,84.21052631578947,84.21052631578947,78.94736842105263,78.94736842105263,78.94736842105263,78.94736842105263,,
2023-04,100.0,100.0,94.73684210526315,94.73684210526315,94.73684210526315,94.73684210526315,94.73684210526315,94.73684210526315,94.73684210526315,94.73684210526315,94.73684210526315,94.73684210526315,94.73684210526315,94.73684210526315,94.73684210526315,94.73684210526315,94.73684210526315,94.73684210526315,94.73684210526315,94.73684210526315,94.73684210526315,,,
2023-05,100.0,100.0,100.0,100.0,96.0,96.0,92.0,92.0,92.0,92.0,88.0,88.0,84.0,84.0,76.0,72.0,68.0,68.0,68.0,68.0,,,,
2023-06,100.0,100.0,100.0,93.75,93.75,93.75,93.75,93.75,87.5,87.5,81.25,81.25,81.25,81.25,75.0,75.0,75.0,75.0,75.0,,,,,
2023-07,100.0,100.0,100.0,100.0,100.0,100.0,95.0,100.0,95.0,95.0,95.0,95.0,90.0,90.0,90.0,90.0,75.0,60.0,,,,,,
2023-08,100.0,100.0,100.0,100.0,100.0,100.0,93.75,87.5,81.25,81.25,81.25,75.0,75.0,75.0,75.0,75.0,75.0,,,,,,,
2023-09,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.33333333333333,93.33333333333333,86.66666666666667,,,,,,,,
2023-10,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.3076923076923,92.3076923076923,92.3076923076923,,,,,,,,,
2023-11,100.0,100.0,100.0,100.0,93.33333333333333,93.33333333333333,80.0,80.0,80.0,80.0,80.0,80.0,73.33333333333333,73.33333333333333,,,,,,,,,,
2023-12,100.0,100.0,100.0,100.0,100.0,100.0,88.23529411764706,76.47058823529412,70.58823529411765,70.58823529411765,70.58823529411765,64.70588235294117,64.70588235294117,,,,,,,,,,,
2024-01,100.0,100.0,100.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,,,,,,,,,,,,
2024-02,100.0,100.0,100.0,100.0,100.0,93.75,93.75,93.75,93.75,93.75,93.75,,,,,,,,,,,,,
2024-03,100.0,100.0,100.0,100.0,91.66666666666666,87.5,87.5,87.5,87.5,87.5,,,,,,,,,,,,,,
2024-04,100.0,100.0,100.0,100.0,100.0,92.85714285714286,92.85714285714286,92.85714285714286,85.71428571428571,,,,,,,,,,,,,,,
2024-05,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,
2024-06,100.0,100.0,100.0,100.0,100.0,94.44444444444444,94.44444444444444,,,,,,,,,,,,,,,,,
2024-07,100.0,100.0,100.0,100.0,93.75,93.75,,,,,,,,,,,,,,,,,,
2024-08,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,
2024-09,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,
2024-10,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,
2024-11,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
2024-12,100.0,,,,,,,,,,,,,,,,,,,,,,,
