,TotalMRR,TotalSeats,TotalLogins,AvgActiveUsers,TotalAPICalls,TotalSessionMinutes,TicketCount,TicketsPerMonth,AvgResolutionHours,AvgSatisfaction,TenureYears,RevenuePerSeat
TotalMRR,1.0,0.1343235302053084,0.03800648822729268,0.07750168117677592,-0.05966947067408341,-0.0037177667300449676,0.05640652411662466,0.04379487320667004,0.014631348340659989,-0.03700210495325292,-0.02944279210671372,0.7463453083147636
TotalSeats,0.1343235302053084,1.0,-0.02733748845330882,-0.04992246483968897,-0.0037791303056666603,-0.02633578706915715,0.003324821646394614,0.03192178151623559,0.11993997361320699,-0.009541128643353302,-0.01256228995517662,-0.2563345329455616
TotalLogins,0.03800648822729268,-0.02733748845330882,1.0,0.5891566039144013,0.6937642810806433,0.7461348713751208,0.08401250405674146,-0.0640868866135191,-0.06727750797791034,0.07484366212418687,0.6351814139851613,0.029798194974205983
AvgActiveUsers,0.07750168117677592,-0.04992246483968897,0.5891566039144013,1.0,0.10771366603661073,0.10494543074044614,0.0411455082628742,-0.05355794642055883,-0.1100661832601216,0.1552603766257811,-0.0482726363913094,0.09633024460514683
TotalAPICalls,-0.05966947067408341,-0.0037791303056666603,0.6937642810806433,0.10771366603661073,1.0,0.8979297980683204,0.10666930701571833,-0.03287443021485411,-0.02216085508272502,-0.004216937166003154,0.7628711718996196,-0.05982983295444118
TotalSessionMinutes,-0.0037177667300449676,-0.02633578706915715,0.7461348713751208,0.10494543074044614,0.8979297980683204,1.0,0.06325921652655929,-0.04079951485088984,-0.044182778784518845,-0.002248873559688749,0.829862038531771,-0.011057868228386687
TicketCount,0.05640652411662466,0.003324821646394614,0.08401250405674146,0.0411455082628742,0.10666930701571833,0.06325921652655929,1.0,-0.2693488072480963,0.03149179467853991,0.03370220375909385,0.07071532455454575,0.033468123345320046
TicketsPerMonth,0.04379487320667004,0.03192178151623559,-0.0640868866135191,-0.05355794642055883,-0.03287443021485411,-0.04079951485088984,-0.2693488072480963,1.0,0.013084865504537071,-0.029033029740363602,-0.042752880141157676,0.02489525921039153
AvgResolutionHours,0.014631348340659989,0.11993997361320699,-0.06727750797791034,-0.1100661832601216,-0.02216085508272502,-0.044182778784518845,0.03149179467853991,0.013084865504537071,1.0,-0.4070192207197554,-0.06086312212971442,-0.05146793166489822
AvgSatisfaction,-0.03700210495325292,-0.009541128643353302,0.07484366212418687,0.1552603766257811,-0.004216937166003154,-0.002248873559688749,0.03370220375909385,-0.029033029740363602,-0.4070192207197554,1.0,-0.001660132412122264,0.01543178684596137
TenureYears,-0.02944279210671372,-0.01256228995517662,0.6351814139851613,-0.0482726363913094,0.7628711718996196,0.829862038531771,0.07071532455454575,-0.042752880141157676,-0.06086312212971442,-0.001660132412122264,1.0,0.0034703140323286115
RevenuePerSeat,0.7463453083147636,-0.2563345329455616,0.029798194974205983,0.09633024460514683,-0.05982983295444118,-0.011057868228386687,0.033468123345320046,0.02489525921039153,-0.05146793166489822,0.01543178684596137,0.0034703140323286115,1.0
