CustomerID,MRR,HighValueFlag,Logins,ActiveUsers,APICalls,SessionMinutes,AtRiskFlag
C1001,278.6,Standard,148.0,4.5,10276.0,2241.4,At Risk
C1002,246.76,Standard,217.0,12.181818181818182,15512.0,3021.1,Not At Risk
C1003,278.6,Standard,187.0,7.25,19771.0,4734.2,Not At Risk
C1004,80.36,Standard,82.0,4.2,14012.0,2530.0,At Risk
C1005,618.76,Standard,133.0,4.6923076923076925,13232.0,2102.0,At Risk
C1006,1618.92,High Value,86.0,12.75,8815.0,778.2,Not At Risk
C1007,658.68,Standard,117.0,2.909090909090909,25511.0,5778.9,Not At Risk
C1008,818.36,High Value,155.0,9.454545454545455,23906.0,2882.3,Not At Risk
C1009,2098.6,High Value,220.0,6.444444444444445,10535.0,4973.4,Not At Risk
C1010,278.6,Standard,81.0,5.5,4316.0,1004.6,At Risk
C1011,262.68,Standard,96.0,2.4,22182.0,5213.3,Not At Risk
C1012,1978.68,High Value,14.0,0.7,6827.0,1715.3,At Risk
C1013,1931.28,High Value,0.0,0.0,71.0,242.1,At Risk
C1014,68.6,Standard,37.0,3.6666666666666665,9530.0,1674.5,At Risk
C1015,246.76,Standard,61.0,2.8333333333333335,15818.0,3158.3,At Risk
C1016,978.04,High Value,38.0,1.25,6672.0,1720.7,At Risk
C1017,60.76,Standard,24.0,1.8571428571428572,2822.0,1829.2,At Risk
C1018,2098.6,High Value,87.0,5.3,7947.0,2759.6,Not At Risk
C1019,326.36,Standard,149.0,8.11111111111111,8711.0,2472.2999999999997,Not At Risk
C1020,68.6,Standard,55.0,4.714285714285714,4663.0,1145.0,At Risk
C1021,76.44,Standard,264.0,7.4,22493.0,4930.3,Not At Risk
C1022,64.68,Standard,44.0,1.0625,22354.0,3827.6,At Risk
C1023,778.44,High Value,14.0,0.8,7528.0,1362.1,At Risk
C1024,246.76,Standard,47.0,7.333333333333333,1144.0,770.4000000000001,At Risk
C1025,262.68,Standard,70.0,1.619047619047619,33541.0,5612.8,At Risk
C1026,698.6,Standard,62.0,4.375,6120.0,1204.1,At Risk
C1027,778.44,High Value,18.0,1.6666666666666667,2758.0,918.7,At Risk
C1028,294.52,Standard,206.0,6.473684210526316,14811.0,3007.7,At Risk
C1029,698.6,Standard,81.0,2.9166666666666665,14593.0,3177.8,At Risk
C1030,2458.36,High Value,396.0,11.0,16297.0,5676.0,Not At Risk
C1031,294.52,Standard,,,,,Not At Risk
C1032,60.76,Standard,,,,,Not At Risk
C1033,342.28,Standard,146.0,6.642857142857143,18744.0,3730.3,Not At Risk
C1034,2578.28,High Value,,,,,Not At Risk
C1035,1978.68,High Value,171.0,5.105263157894737,28076.0,5400.6,Not At Risk
C1036,80.36,Standard,168.0,6.0,31827.0,3956.6,Not At Risk
C1037,1978.68,High Value,42.0,2.090909090909091,6623.0,1911.7,At Risk
C1038,246.76,Standard,71.0,2.7142857142857144,9156.0,1877.9,At Risk
C1039,76.44,Standard,83.0,1.9090909090909092,27844.0,5371.4,At Risk
C1040,326.36,Standard,92.0,4.545454545454546,17865.0,2545.6,Not At Risk
C1041,437.8,Standard,111.0,4.3076923076923075,17426.0,3163.5,Not At Risk
C1042,60.76,Standard,311.0,9.15,33162.0,5195.7,Not At Risk
C1043,698.6,Standard,173.0,5.5,13399.0,3300.2,At Risk
C1044,246.76,Standard,78.0,6.833333333333333,4675.0,1085.2,At Risk
C1045,2578.28,High Value,61.0,4.285714285714286,14787.0,1688.4,At Risk
C1046,2098.6,High Value,35.0,0.625,12343.0,2652.6,At Risk
C1047,80.36,Standard,140.0,10.285714285714286,7995.0,1636.1999999999998,Not At Risk
C1048,658.68,Standard,62.0,1.6111111111111112,28335.0,3478.9,At Risk
C1049,4676.88,High Value,32.0,6.0,5258.0,685.9000000000001,At Risk
C1050,1825.3600000000001,High Value,101.0,4.636363636363637,7638.0,2242.5,At Risk
C1051,262.68,Standard,92.0,10.4,4768.0,1286.3,Not At Risk
C1052,390.04,Standard,92.0,7.375,10723.0,2131.9,Not At Risk
C1053,310.44,Standard,84.0,2.8666666666666667,8093.0,2017.3999999999999,At Risk
C1054,818.36,High Value,14.0,4.5,4910.0,824.9,At Risk
C1055,68.6,Standard,134.0,3.5555555555555554,20493.0,2621.9,At Risk
C1056,658.68,Standard,14.0,1.0,14097.0,1681.6999999999998,At Risk
C1057,76.44,Standard,260.0,9.714285714285714,14388.0,3077.1,Not At Risk
C1058,64.68,Standard,45.0,4.6,4003.0,724.0,At Risk
C1059,658.68,Standard,113.0,11.833333333333334,4999.0,1587.3,Not At Risk
C1060,80.36,Standard,385.0,12.444444444444445,31791.0,4374.7,Not At Risk
C1061,310.44,Standard,266.0,8.31578947368421,16514.0,5155.2,Not At Risk
C1062,358.2,Standard,6.0,0.6666666666666666,2946.0,438.0,At Risk
C1063,56.84,Standard,52.0,2.5,12377.0,1460.6,At Risk
C1064,68.6,Standard,88.0,3.9,16026.0,2546.0,Not At Risk
C1065,898.2,High Value,90.0,3.1333333333333333,19830.0,4097.7,Not At Risk
C1066,88.2,Standard,32.0,2.6666666666666665,8966.0,1407.7,At Risk
C1067,326.36,Standard,139.0,7.545454545454546,23539.0,2360.9,Not At Risk
C1068,262.68,Standard,5.0,0.5,1291.0,625.5999999999999,At Risk
C1069,80.36,Standard,262.0,8.294117647058824,17132.0,4548.9,Not At Risk
C1070,64.68,Standard,,,,,Not At Risk
C1071,326.36,Standard,82.0,10.25,7361.0,969.3,At Risk
C1072,278.6,Standard,368.0,10.047619047619047,45924.0,4879.2,Not At Risk
C1073,84.28,Standard,150.0,5.0588235294117645,29996.0,4698.9,Not At Risk
C1074,294.52,Standard,22.0,4.0,3339.0,647.0,At Risk
C1075,738.52,High Value,39.0,2.75,12737.0,2030.6,At Risk
C1076,2542.6400000000003,High Value,97.0,5.75,3740.0,1196.6,At Risk
C1077,80.36,Standard,64.0,3.5,21829.0,2317.6,At Risk
C1078,76.44,Standard,32.0,1.3,12136.0,2280.5,At Risk
C1079,778.44,High Value,73.0,7.166666666666667,8715.0,1308.6,At Risk
C1080,310.44,Standard,29.0,1.75,11010.0,1817.1999999999998,At Risk
C1081,64.68,Standard,21.0,0.8888888888888888,6779.0,2164.7,At Risk
C1082,294.52,Standard,92.0,5.857142857142857,8629.0,1994.1,Not At Risk
C1083,80.36,Standard,63.0,3.1,21976.0,2616.3,At Risk
C1084,294.52,Standard,,,,,Not At Risk
C1085,618.76,Standard,109.0,7.5,5745.0,1269.1000000000001,At Risk
C1086,818.36,High Value,46.0,1.0,24023.0,5188.8,At Risk
C1087,60.76,Standard,10.0,3.0,4931.0,369.0,At Risk
C1088,310.44,Standard,65.0,1.631578947368421,25835.0,4372.1,At Risk
C1089,72.52,Standard,22.0,1.125,9825.0,2563.9,At Risk
C1090,326.36,Standard,9.0,1.3333333333333333,2140.0,551.8,At Risk
C1091,618.76,Standard,13.0,3.0,1649.0,739.0999999999999,At Risk
C1092,68.6,Standard,7.0,2.0,3097.0,221.8,At Risk
C1093,658.68,Standard,263.0,7.95,32589.0,5688.2,Not At Risk
C1094,1858.76,High Value,377.0,9.363636363636363,34990.0,5469.5,Not At Risk
C1095,72.52,Standard,170.0,4.0,25465.0,5224.7,Not At Risk
C1096,310.44,Standard,151.0,7.5,14710.0,2549.2,Not At Risk
C1097,68.6,Standard,4.0,2.0,142.0,350.7,At Risk
C1098,818.36,High Value,78.0,4.222222222222222,10967.0,2559.7,At Risk
C1099,88.2,Standard,69.0,2.5384615384615383,9438.0,1938.2,At Risk
